datetime,open,high,low,close,volume,ATR,trade_type,signals
2018-07-26 05:30:00,8175.63,8315.69,7850.06,7920.0,43223.481682,375.21471074994844,HOLD,0
2018-07-27 05:30:00,7920.0,8285.0,7805.0,8188.57,43671.005891,382.6993742678093,HOLD,0
2018-07-28 05:30:00,8188.57,8246.54,8067.0,8225.04,26215.173839,368.18799039153726,HOLD,0
2018-07-29 05:30:00,8225.04,8294.51,8115.0,8211.0,25531.226185,354.710991077856,HOLD,0
2018-07-30 05:30:00,8210.99,8273.0,7866.0,8173.92,39692.416542,358.4459202865806,HOLD,0
2018-07-31 05:30:00,8171.4,8180.0,7633.0,7730.93,48296.915587,371.9140688375391,CLOSE,-1
2018-08-01 05:30:00,7735.67,7750.0,7430.0,7604.58,42582.312932,368.2059210634292,HOLD,0
2018-08-02 05:30:00,7600.08,7709.46,7455.72,7525.71,37665.696684,360.0297838446128,HOLD,0
2018-08-03 05:30:00,7525.71,7540.0,7282.44,7418.78,44669.486047,352.71051356999766,HOLD,0
2018-08-04 05:30:00,7412.27,7494.81,6926.0,7009.84,36288.42601,368.14619117214073,HOLD,0
2018-08-05 05:30:00,7009.84,7089.87,6882.29,7024.19,32894.849782,356.67717751698785,HOLD,0
2018-08-06 05:30:00,7024.19,7160.0,6821.0,6934.82,32760.191643,355.41452198006016,HOLD,0
2018-08-07 05:30:00,6935.0,7150.46,6670.0,6720.06,45438.473501,364.3463418386273,HOLD,0
2018-08-08 05:30:00,6720.63,6721.54,6123.0,6285.0,59550.536319,381.0744602787254,SHORT,-1
2018-08-09 05:30:00,6283.27,6622.81,6178.6,6529.79,51941.185111,385.58414168738784,HOLD,0
2018-08-10 05:30:00,6529.79,6575.88,6026.39,6144.01,59034.974902,397.29170299543154,HOLD,0
2018-08-11 05:30:00,6148.13,6488.0,5971.0,6232.35,47133.418555,405.84229563861504,HOLD,0
2018-08-12 05:30:00,6222.55,6472.3,6130.0,6308.33,38567.770712,401.3035602358568,HOLD,0
2018-08-13 05:30:00,6308.56,6545.0,6145.04,6246.35,53895.828783,401.20759164758135,HOLD,0
2018-08-14 05:30:00,6248.25,6250.33,5880.0,6188.08,50186.745091,399.00204938703985,HOLD,0
2018-08-15 05:30:00,6188.08,6609.0,6172.11,6267.16,68806.687026,401.7083315736799,REVERSE_SHORT_TO_LONG,2
2018-08-16 05:30:00,6265.27,6480.0,6205.6,6311.75,48515.254618,392.614879318417,HOLD,0
2018-08-17 05:30:00,6316.0,6585.0,6285.4,6584.49,57851.610803,385.97095936710156,HOLD,0
2018-08-18 05:30:00,6579.04,6620.0,6288.0,6387.96,53742.322172,382.11589084088,HOLD,0
2018-08-19 05:30:00,6387.96,6541.0,6300.0,6477.53,45190.847994,372.03618435224575,HOLD,0
2018-08-20 05:30:00,6477.53,6530.0,6220.0,6254.84,49435.55526,367.6050283270854,HOLD,0
2018-08-21 05:30:00,6251.0,6500.0,6235.08,6480.0,41569.947408,360.2703834465793,HOLD,0
2018-08-22 05:30:00,6479.98,6882.54,6251.2,6360.89,77909.391359,379.63249891468075,REVERSE_LONG_TO_SHORT,-2
2018-08-23 05:30:00,6362.57,6576.99,6342.28,6525.01,40358.166825,369.2808918493464,HOLD,0
2018-08-24 05:30:00,6525.0,6725.0,6440.5,6681.64,38305.675322,363.22511386010734,HOLD,0
2018-08-25 05:30:00,6686.98,6789.0,6650.61,6733.64,19220.505929,347.16546287009976,CLOSE,1
2018-08-26 05:30:00,6733.64,6775.27,6568.0,6700.0,20107.297208,337.1729298079498,HOLD,0
2018-08-27 05:30:00,6700.0,6940.51,6646.5,6908.64,37747.078747,334.08986339309627,HOLD,0
2018-08-28 05:30:00,6907.26,7135.0,6860.0,7076.11,48352.917163,329.869158865018,HOLD,0
2018-08-29 05:30:00,7077.0,7133.81,6912.34,7031.22,43252.487392,322.126361803231,HOLD,0
2018-08-30 05:30:00,7033.21,7063.63,6784.81,6984.84,44716.77462,319.0330502458574,HOLD,0
2018-08-31 05:30:00,6984.84,7089.0,6888.0,7011.21,40467.400638,310.602118085439,HOLD,0
2018-09-01 05:30:00,7011.21,7275.0,7008.74,7200.01,40323.414093,307.43482393647906,HOLD,0
2018-09-02 05:30:00,7201.57,7345.45,7127.0,7302.01,39814.840352,301.0787650838734,HOLD,0
2018-09-03 05:30:00,7302.0,7338.28,7191.63,7263.02,32396.018371,290.0481390064539,HOLD,0
2018-09-04 05:30:00,7263.0,7410.0,7227.17,7359.06,35300.640518,282.3897005059929,HOLD,0
2018-09-05 05:30:00,7359.05,7397.3,6682.0,6700.0,63715.256267,313.31186475556484,SHORT,-1
2018-09-06 05:30:00,6697.27,6725.0,6265.0,6516.01,60644.464227,323.7895887015959,HOLD,0
2018-09-07 05:30:00,6516.84,6544.0,6320.0,6395.54,38906.28805,316.6617609371962,HOLD,0
2018-09-08 05:30:00,6395.54,6478.0,6111.0,6185.05,38215.032171,320.2573494416822,HOLD,0
2018-09-09 05:30:00,6185.06,6441.0,6141.53,6250.81,37053.92382,318.77253876727633,HOLD,0
2018-09-10 05:30:00,6252.26,6373.98,6221.0,6312.0,32439.456432,306.9302145696137,HOLD,0
2018-09-11 05:30:00,6311.99,6404.0,6169.68,6294.91,33104.88859,301.74377067178415,HOLD,0
2018-09-12 05:30:00,6293.0,6360.0,6192.37,6338.62,31433.645939,292.16421562379963,HOLD,0
2018-09-13 05:30:00,6338.62,6535.0,6337.4,6487.38,40465.063107,285.40962879352827,REVERSE_SHORT_TO_LONG,2
2018-09-14 05:30:00,6487.39,6584.99,6385.62,6476.63,37173.339277,279.26394102256194,HOLD,0
2018-09-15 05:30:00,6476.63,6565.45,6466.13,6514.96,25243.656612,266.41080237809325,HOLD,0
2018-09-16 05:30:00,6514.96,6524.62,6370.0,6505.0,27568.132897,258.4257450653723,HOLD,0
2018-09-17 05:30:00,6500.08,6533.84,6201.0,6248.69,35987.254738,263.7410489892743,HOLD,0
2018-09-18 05:30:00,6248.69,6390.0,6224.98,6336.45,32620.86667,256.6895454900405,HOLD,0
2018-09-19 05:30:00,6336.39,6517.7,6123.0,6391.89,39044.080082,266.5474350978947,HOLD,0
2018-09-20 05:30:00,6392.0,6540.0,6325.0,6492.0,25189.024728,262.8654754480451,HOLD,0
2018-09-21 05:30:00,6492.0,6784.86,6491.0,6759.02,51779.343463,265.07937005889903,HOLD,0
2018-09-22 05:30:00,6759.01,6839.03,6627.0,6723.05,29349.690667,261.2901293404062,HOLD,0
2018-09-23 05:30:00,6723.05,6788.23,6661.75,6708.0,30286.229773,251.66083438752005,HOLD,0
2018-09-24 05:30:00,6706.81,6730.0,6557.0,6581.39,35305.73991,246.04220335984007,CLOSE,-1
2018-09-25 05:30:00,6581.42,6584.01,6325.02,6447.54,40301.029452,246.96704597699434,HOLD,0
2018-09-26 05:30:00,6445.11,6557.99,6379.7,6465.12,33484.54207,242.0615426929233,HOLD,0
2018-09-27 05:30:00,6467.84,6750.0,6434.0,6689.13,33087.428297,247.34286107200023,HOLD,0
2018-09-28 05:30:00,6689.12,6814.8,6540.88,6634.58,42399.448523,249.24122813828592,SHORT,-1
2018-09-29 05:30:00,6634.58,6636.0,6464.57,6596.38,30255.9597,243.68328327126554,HOLD,0
2018-09-30 05:30:00,6597.66,6662.0,6533.0,6626.57,27764.724519,235.49162018046087,HOLD,0
2018-10-01 05:30:00,6626.57,6667.09,6510.0,6611.61,20621.506894,229.89150445328514,HOLD,0
2018-10-02 05:30:00,6610.0,6640.0,6494.0,6525.79,28245.810088,223.89925413519333,HOLD,0
2018-10-03 05:30:00,6525.79,6549.0,6430.0,6510.0,28451.969138,216.40645026839383,HOLD,0
2018-10-04 05:30:00,6510.01,6643.46,6505.09,6593.79,20074.300818,210.8324181063657,HOLD,0
2018-10-05 05:30:00,6591.69,6697.0,6543.08,6635.65,16096.552392,206.76724538448246,HOLD,0
2018-10-06 05:30:00,6635.65,6651.0,6566.77,6594.27,10939.505391,198.01458499987655,HOLD,0
2018-10-07 05:30:00,6596.44,6640.0,6525.0,6615.26,17406.831762,192.08497178559966,HOLD,0
2018-10-08 05:30:00,6615.26,6715.6,6587.0,6673.01,23123.419541,187.55033094377114,HOLD,0
2018-10-09 05:30:00,6673.01,6685.38,6607.0,6656.61,15354.779469,179.75245016207322,HOLD,0
2018-10-10 05:30:00,6656.67,6659.95,6530.0,6631.0,15390.661444,176.19513229335368,HOLD,0
2018-10-11 05:30:00,6630.21,6633.92,6205.0,6252.68,48712.400332,194.24690855811414,HOLD,0
2018-10-12 05:30:00,6252.71,6360.0,6209.0,6298.01,29004.071419,191.157843661106,HOLD,0
2018-10-13 05:30:00,6298.0,6345.0,6285.07,6332.93,19098.070025,181.7844262567413,HOLD,0
2018-10-14 05:30:00,6332.92,6416.0,6308.0,6339.34,15627.411314,176.5141100955455,CLOSE,1
2018-10-15 05:30:00,6339.34,7680.0,6300.0,6752.5,90748.031246,262.4773879458637,LONG,1
2018-10-16 05:30:00,6752.5,6900.0,6670.0,6759.27,27557.957764,260.1575745211592,HOLD,0
2018-10-17 05:30:00,6762.76,6811.12,6676.01,6740.89,26641.431379,251.22560491250493,HOLD,0
2018-10-18 05:30:00,6739.01,6796.0,6567.0,6618.96,20116.521941,249.63806170446887,HOLD,0
2018-10-19 05:30:00,6618.96,6648.14,6523.0,6528.88,20772.60077,240.74534301129256,CLOSE,-1
2018-10-20 05:30:00,6528.88,6617.65,6505.55,6588.4,19240.722247,231.55638993905734,HOLD,0
2018-10-21 05:30:00,6585.72,6663.9,6580.0,6590.11,6515.357792,221.00950494341035,HOLD,0
2018-10-22 05:30:00,6590.12,6639.0,6535.27,6581.2,16213.69266,212.63239744745243,HOLD,0
2018-10-23 05:30:00,6581.2,6595.0,6515.45,6553.51,13856.601756,203.12651191549156,HOLD,0
2018-10-24 05:30:00,6553.51,6630.0,6547.53,6565.5,11951.543977,194.5081896358136,HOLD,0
2018-10-25 05:30:00,6566.81,6575.09,6502.8,6528.09,10342.701244,185.7783189475412,HOLD,0
2018-10-26 05:30:00,6528.13,6600.0,6515.01,6538.63,9443.504156,178.5791533084311,HOLD,0
2018-10-27 05:30:00,6538.63,6558.35,6463.04,6505.6,7776.907864,172.6313566435432,HOLD,0
2018-10-28 05:30:00,6505.6,6514.17,6453.0,6489.93,5743.933728,164.66983116900442,HOLD,0
2018-10-29 05:30:00,6489.93,6505.01,6315.0,6344.5,13827.224067,166.47984322836126,SHORT,-1
2018-10-30 05:30:00,6344.5,6395.0,6317.01,6330.87,8877.175385,160.15914014062116,HOLD,0
2018-10-31 05:30:00,6330.01,6428.0,6245.02,6371.93,12148.888216,161.78920155914818,HOLD,0
2018-11-01 05:30:00,6369.52,6442.65,6348.66,6410.0,9099.035841,156.94640144778043,HOLD,0
2018-11-02 05:30:00,6410.0,6460.34,6388.2,6433.98,9739.440679,150.88880134436755,CLOSE,1
2018-11-03 05:30:00,6432.8,6439.97,6345.0,6387.09,7661.241476,146.8946012483413,HOLD,0
2018-11-04 05:30:00,6388.0,6525.0,6359.0,6485.85,10592.394943,148.2592725877455,HOLD,0
2018-11-05 05:30:00,6485.85,6504.39,6431.02,6468.99,8987.882156,142.91003883147798,HOLD,0
2018-11-06 05:30:00,6468.99,6531.31,6445.18,6519.11,11926.565699,138.8543217720867,LONG,1
2018-11-07 05:30:00,6522.73,6615.15,6509.0,6578.46,14271.591117,136.5182987883662,HOLD,0
2018-11-08 05:30:00,6578.46,6594.0,6468.22,6479.84,13259.789282,135.75127744634003,HOLD,0
2018-11-09 05:30:00,6479.84,6511.53,6391.01,6419.99,11787.616583,134.6633290573157,HOLD,0
2018-11-10 05:30:00,6419.99,6475.55,6411.0,6433.05,7714.829926,129.65523412465032,HOLD,0
2018-11-11 05:30:00,6435.16,6462.14,6355.0,6449.81,8213.507117,128.04700311574675,HOLD,0
2018-11-12 05:30:00,6450.71,6497.0,6421.0,6453.07,10132.782567,124.32936003605056,HOLD,0
2018-11-13 05:30:00,6451.68,6498.0,6391.15,6457.66,11790.564933,123.08083431918983,HOLD,0
2018-11-14 05:30:00,6458.98,6482.84,5656.87,5922.41,46478.964003,173.28720329639057,REVERSE_LONG_TO_SHORT,-2
2018-11-15 05:30:00,5917.2,5939.54,5403.42,5753.4,47700.829401,199.20383163236266,HOLD,0
2018-11-16 05:30:00,5757.09,5782.89,5549.25,5655.94,38721.802274,201.6635579443368,HOLD,0
2018-11-17 05:30:00,5650.57,5656.6,5565.43,5628.29,26411.241413,193.77116094831274,HOLD,0
2018-11-18 05:30:00,5630.49,5738.17,5617.0,5662.0,23844.999347,188.58536373771898,HOLD,0
2018-11-19 05:30:00,5661.94,5664.0,4855.0,4910.03,70580.892856,232.90069489931048,HOLD,0
2018-11-20 05:30:00,4913.4,5048.24,4326.0,4558.86,117380.95159,267.85350240650257,HOLD,0
2018-11-21 05:30:00,4559.91,4787.2,4413.85,4661.07,61071.829475,275.3889665203238,HOLD,0
2018-11-22 05:30:00,4661.08,4721.77,4335.0,4370.0,34531.119143,283.344754626015,HOLD,0
2018-11-23 05:30:00,4370.9,4484.0,4222.94,4420.61,49371.920322,281.7529864384426,HOLD,0
2018-11-24 05:30:00,4415.63,4527.0,3824.69,3932.44,61693.111006,311.79277312141096,HOLD,0
2018-11-25 05:30:00,3933.68,4233.0,3652.66,4085.78,101693.975588,330.9747178984531,HOLD,0
2018-11-26 05:30:00,4088.69,4206.0,3701.0,3862.2,94504.865717,343.40509519142074,HOLD,0
2018-11-27 05:30:00,3864.45,3940.0,3689.12,3875.21,67480.607212,336.796159820605,HOLD,0
2018-11-28 05:30:00,3875.63,4394.47,3874.27,4264.85,91983.567949,349.89643411913323,HOLD,0
2018-11-29 05:30:00,4262.06,4450.38,4125.65,4295.84,73980.198669,348.0988316820523,CLOSE,1
2018-11-30 05:30:00,4295.72,4341.36,3943.0,4041.32,67758.446283,351.68891513333426,HOLD,0
2018-12-01 05:30:00,4041.27,4299.99,3963.01,4190.02,44840.073481,350.6382783380961,HOLD,0
2018-12-02 05:30:00,4190.98,4312.99,4103.04,4161.01,38912.15479,340.58911559966066,HOLD,0
2018-12-03 05:30:00,4160.55,4179.0,3827.0,3884.01,49094.369163,341.4041787711135,HOLD,0
2018-12-04 05:30:00,3884.76,4085.0,3781.0,3951.64,48489.551613,338.73245171603395,HOLD,0
2018-12-05 05:30:00,3950.98,3970.0,3745.0,3769.84,44004.799448,330.60870516488865,HOLD,0
2018-12-06 05:30:00,3768.44,3899.99,3500.0,3508.75,68378.796943,335.56451193882515,SHORT,-1
2018-12-07 05:30:00,3508.75,3549.99,3224.6,3403.55,95145.457442,334.8377610860519,HOLD,0
2018-12-08 05:30:00,3403.57,3495.0,3222.0,3410.93,55365.949949,330.42077815133393,HOLD,0
2018-12-09 05:30:00,3411.36,3658.0,3394.04,3545.37,45956.893296,325.6735797119529,HOLD,0
2018-12-10 05:30:00,3548.49,3610.0,3370.11,3432.88,40989.244553,319.5461811610991,HOLD,0
2018-12-11 05:30:00,3434.01,3480.0,3324.32,3380.39,35920.864154,307.84145393530633,HOLD,0
2018-12-12 05:30:00,3379.23,3492.0,3350.0,3445.0,33922.931286,295.9956357970702,HOLD,0
2018-12-13 05:30:00,3446.38,3460.0,3255.5,3302.06,40040.917013,289.4602332401366,HOLD,0
2018-12-14 05:30:00,3302.06,3335.39,3177.0,3224.17,44492.983807,280.098073722984,HOLD,0
2018-12-15 05:30:00,3225.19,3276.5,3156.26,3211.72,29796.041436,268.679639885628,HOLD,0
2018-12-16 05:30:00,3211.71,3294.0,3186.0,3228.67,24628.808538,257.20252275094026,HOLD,0
2018-12-17 05:30:00,3229.22,3585.0,3216.0,3509.08,66762.216388,265.1880568401588,REVERSE_SHORT_TO_LONG,2
2018-12-18 05:30:00,3509.03,3678.59,3424.47,3652.98,61369.615257,264.39748135157606,HOLD,0
2018-12-19 05:30:00,3653.0,3912.73,3622.55,3662.22,94137.341014,266.2390898264635,HOLD,0
2018-12-20 05:30:00,3660.01,4120.0,3635.0,4049.62,101543.835986,281.86486912457326,HOLD,0
2018-12-21 05:30:00,4051.86,4139.99,3764.0,3838.66,82343.850112,288.58809275853235,HOLD,0
2018-12-22 05:30:00,3840.25,3979.0,3785.0,3948.91,42822.350872,281.83180041863716,HOLD,0
2018-12-23 05:30:00,3948.91,4021.53,3870.0,3929.71,40117.531529,272.5245289601631,HOLD,0
2018-12-24 05:30:00,3929.71,4198.0,3924.83,4008.01,64647.809129,272.57063403443715,HOLD,0
2018-12-25 05:30:00,4010.11,4020.0,3646.41,3745.79,62725.629432,279.78630303197735,HOLD,0
2018-12-26 05:30:00,3745.56,3837.15,3656.74,3777.74,42629.375817,272.68799567255047,HOLD,0
2018-12-27 05:30:00,3777.74,3813.98,3535.0,3567.91,44097.392912,273.1374245530826,HOLD,0
2018-12-28 05:30:00,3567.89,3887.25,3540.04,3839.26,45964.304987,278.428322799291,HOLD,0
2018-12-29 05:30:00,3839.0,3892.0,3670.0,3695.32,38874.373903,274.39772831362734,HOLD,0
2018-12-30 05:30:00,3696.71,3903.5,3657.9,3801.91,33222.369262,272.3407477197968,HOLD,0
2018-12-31 05:30:00,3803.12,3810.0,3630.33,3702.9,29991.77835,265.7214085969542,HOLD,0
2019-01-01 05:30:00,3701.23,3810.16,3642.0,3797.14,23741.687033,258.7527365543146,HOLD,0
2019-01-02 05:30:00,3796.45,3882.14,3750.45,3858.56,35156.463369,249.67682680043498,HOLD,0
2019-01-03 05:30:00,3857.57,3862.74,3730.0,3766.78,29406.948359,241.3241963146896,HOLD,0
2019-01-04 05:30:00,3767.2,3823.64,3703.57,3792.01,29519.554671,232.66318229221176,HOLD,0
2019-01-05 05:30:00,3790.09,3840.99,3751.0,3770.96,30490.667751,222.4722406999109,HOLD,0
2019-01-06 05:30:00,3771.12,4027.71,3740.0,3987.6,36553.806709,227.1320806499173,HOLD,0
2019-01-07 05:30:00,3987.62,4017.9,3921.53,3975.45,31869.846264,217.79193203206606,HOLD,0
2019-01-08 05:30:00,3976.76,4069.8,3903.0,3955.13,38901.423122,214.1496511726328,REVERSE_LONG_TO_SHORT,-2
2019-01-09 05:30:00,3955.45,4006.81,3930.04,3966.65,28989.439511,204.33681894601617,HOLD,0
2019-01-10 05:30:00,3966.06,3996.01,3540.0,3585.88,59402.22851,222.31347473558645,HOLD,0
2019-01-11 05:30:00,3585.88,3658.0,3465.0,3601.31,38338.654733,220.219655111616,HOLD,0
2019-01-12 05:30:00,3601.31,3618.19,3530.0,3583.13,21999.928354,210.7889654607863,HOLD,0
